,Afirmação checada,Classificação
246,"Suposto tuíte do general Heleno, ministro-chefe do Gabinete de Segurança Institucional, afirma que a COVID-19 não é forte, já que ele e o presidente Jair Bolsonaro o possuíam e se recuperaram facilmente. Bolsonaro sempre negou ter COVID-19.",Falso
247,"Fotos mostram João Doria, governador de São Paulo, em uma festa em Araçatuba durante o isolamento social da COVID-19.",Falso
248,"Foto mostra mulher sendo pisoetada por um policial em uma moto. Segundo a legenda, registro foi feito no Ceará durante protesto contra o isolamento social.",Falso
249,"A rede de lojas Renner fechou todas as suas unidades no Brasil, Argentina e Uruguai na quinta-feira (16 de abril).",Parcialmente falso
250,"Reportagem em vídeo diz que o WhatsApp será suspenso no Brasil. Na legenda, afirma-se que a suspensão ocorrerá devido a informações incorretas sobre a COVID-19.",Falso
251,"Vídeo mostra uma invasão do FBI. Segundo as legendas, os agentes apreenderam máscaras chinesas N95 que foram contaminadas com COVID-19.",Falso
252,"Imagem mostra Eduardo Leite, governador do Rio Grande do Sul (Brasil), em um teleférico. Segundo a legenda, ele estava tirando férias enquanto todo mundo estava preso devido ao isolamento social.",Falso
253,"Vídeo mostra hospital vazio e afirma que, embora a Rede Globo tenha noticiado sete pacientes no hospital temporário construído em Fortaleza para ajudar no tratamento da COVID-19, o vídeo prova que ainda não está funcionando.",Falso
254,"COVID-19 pode ser curada com uma infusão de alho, limão e jambu (erva amazônica, usada como tempero no norte do Brasil).",Falso
255,"Caixões vazios estão sendo enterrados em Manaus, Brasil, para agitar a população. Isso foi revelado pela TV Band.",Falso
256,"A COVID-19 está indo embora. Em 21 de abril, o número de novos casos curados era maior que o número de novos casos, o que significa que o número total de casos ativos está diminuindo.",Falso
257,Arquivo de áudio de trabalhador de uma instituição de saúde do Rio de Janeiro afirma que os profissionais de saúde de instituições públicas são forçados a declarar se um paciente tem COVID-19 ou não antes mesmo de consultar um médico. Isso estava sendo feito para aumentar artificialmente o número de casos.,Falso
258,"No Brasil, 187 mil pessoas tiveram a segunda parcela do Auxílio Emergencial cancelada porque a Caixa Econômica Federal, banco público responsável pelos pagamentos, descobriu que os CPFs que receberam o benefício se cadastraram para compras de aparelhos eletrônicos. ",Falso
259,Governo brasileiro não pagará o auxílio emergencial da COVID-19 no próximo mês porque está sem dinheiro,Falso
260,"Novo Ministro da Saúde do Brasil, Nelson Teich, está investigando as estatísticas da COVID-19 por suposta fraude. Por isso o número de casos e mortes vem diminuindo no país na semana de 24 de abril.",Falso
261,"Vídeo alerta sobre máscaras infectadas que chegam ao Brasil. A peça tem imagens de Tedros Adhanom Ghebreyesus, da OMS, e narração de uma terceira pessoa ",Falso
262,Vídeo mostra carro pegando fogo. O incêndio teria sido causado por desinfetante para as mãos à base de álcool.,Falso
263,GloboNews noticiou que um criminoso morreu de COVID-19 “enquanto” trocava tiros com a polícia. Uma captura de tela comprova.,Falso
264,"Imagem mostra hospital em Santo André (SP), Brasil. Conforme a legenda, apesar da crise da COVID-19 o hospital não tem pacientes.",Falso
265,"Foto de um hospital vazio. Na legenda, é dito que médicos esperam pacientes, mas eles não chegam",Falso
266,"Foto de caixão aberto, com uma pedra e um saco de areia dentro. Na legenda, é dito que a cena foi registrada nos últimos dias, no Amazonas",Falso
267,"Imagem mostra um caixão aberto com nada além de um saco de areia dentro. A legenda indica que a foto foi tirada em Manaus, Brasil, e que caixões vazios estão sendo enterrados para induzir a população a entrar em pânico.",Falso
268,"Unilever e Pampers estão oferecendo produtos de limpeza e higiene grátis para famílias afetadas pela Covid-19. Para concorrer, basta comentar uma publicação",Falso
269,"A Unilever e a Pampers estão oferecendo produtos de limpeza e higiene gratuitos para as famílias brasileiras afetadas pela COVID-19. Para ter direito a essa ajuda, você precisa digitar sua cidade nos comentários da postagem.",Falso
270,"A taxa de mortalidade da COVID-19 foi mais de 10 vezes maior em São Paulo, Rio de Janeiro e Ceará (estados nos quais atualmente os governadores se opõem a Jair Bolsonaro) do que em Minas Gerais (cujo governador apoia Bolsonaro). Os números foram inflados para fazer Bolsonaro parecer ruim.",Falso
271,"Taxa de mortalidade de Covid-19 é mais de 10 vezes mais alta em São Paulo, Ceará e Rio de Janeiro do que em Minas Gerais. Texto diz que isso seria uma conspiração para manchar o nome de Bolsonaro",Falso
272,Caixões de supostas vítimas de COVID-19 foram desenterrados em Belo Horizonte (MG). Havia apenas pedras dentro.,Falso
273,"Caixões de vítimas da Covid-19 foram desenterrados em Belo Horizontes. Dentro deles, foram encontrados apenas pedras e pedaços de pau",Falso
274,"Vídeo mostra multidão na cidade de Marabá (PA) gritando com um homem que dirigia uma retroescavadeira. Na legenda, afirma-se que ele estava abrindo sepulturas para caixões vazios.",Falso
275,"Vídeo de um grupo de moradores em Marabá impedindo a passagem de uma retroescavadeira. Na legenda, é dito que o veículo iria cavar covas para o enterro de caixões vazios",Falso
276,Quem for pego dirigindo sem máscara pode ser multado e receber 3 pontos na carteira,Falso
277,"No Brasil, pessoas que dirigem sem máscaras recebem multas de trânsito.",Falso
278,"Foto mostra dois homens segurando um caixão. Conforme a legenda, se o caixão estivesse cheio eles não seriam capazes de levantá-lo.",Falso
279,"Foto de dois homens segurando um caixão. Na legenda, é dito que eles não seriam fortes o suficiente para carregar um caixão cheio daquele jeito. Logo, o caixão estaria vazio",Falso
280,Petrobras está distribuindo combustível de graça para trabalhadores essenciais no Brasil,Falso
281,"A Petrobras, empresa brasileira de petróleo, dará gasolina de graça a trabalhadores essenciais. É preciso preencher um formulário para ser elegível.",Falso
282,"Foto do hospital de campanha do ginásio do Ibirapuera, em São Paulo, com todas as camas vazias",Falso
283,"Foto mostra hospital de campanha do Ginásio Ibirapuera, em São Paulo, vazio.",Falso
284,"Vídeo de uma teleconferência entre o governador da Bahia, Rui Costa, e a prefeita de Porto Seguro. Na legenda, é dito que Costa solicitou que a prefeita arranjasse 200 casos"" de Covid-19 no município""",Falso
285,"Vídeo mostra teleconferência entre Rui Costa, governador da Bahia, e a prefeita da cidade de Porto Seguro (BA). Segundo a legenda, o governador pediu à prefeita para aumentar artificialmente o número de pacientes com COVID-19 para 200.",Falso
286,Dados no Portal da Transparência do Registro Civil provam que pandemia de Covid-19 é uma farsa,Falso
287,Texto afirma que dados do registro civil provam que a pandemia é uma invenção. Todos os números são significativamente inferiores aos publicados pelo Ministério da Saúde.,Falso
288,O CRAS (Centro de Assistência Social) está distribuindo 492 mil cestas básicas para pessoas carentes. É preciso preencher um formulário para descobrir se são elegíveis.,Falso
289,O CRAS está distribuindo 492 mil cestas básicas grátis para pessoas passando necessidade durante a crise de Covid-19,Falso
290,"João Doria, governador de São Paulo, e a deputada federal Joice Hasselmann aparecem dançando em vídeo e desrespeitando os decretos de distanciamento social. ",Falso
291,Foto mostra uma pessoa segurando um caixão com apenas dois dedos. O conteúdo afirma ser fisicamente impossível que o caixão esteja cheio devido ao peso de uma pessoa morta.,Falso
292,Fotos mostram caixões vazios usados para fingir funerais de vítimas da COVID-19 em São Paulo e no Amazonas.,Falso
293,"O governador do Rio de Janeiro irá pagar aos presidiários um subsídio mensal especial em razão da COVID-19 de R$ 836. Enquanto isso, o auxílio emergencial para pessoas pobres que não são criminosas condenadas é de apenas R$ 600.",Falso
294,170 milhões de pessoas estão recebendo o auxílio emergencial de COVID-19 pago pelo governo federal.,Falso
295,Vídeo mostra médicos israelenses dançando e comemorando porque dois hospitais dedicados ao tratamento de COVID-19 foram fechados porque já não havia mais pacientes.,Falso
296,"Adelio Bispo de Oliveira, o homem que esfaqueou Bolsonaro em 2018, contraiu coronavírus na prisão.",Falso
297,"Enquanto os testes de COVID-19 em pessoas doentes levam de 10 a 20 dias para mostrar resultados, em pessoas mortas os resultados são dados instantaneamente.",Falso
298,Usar máscaras por um longo período de tempo pode causar hipóxia.,Falso
299,"Vídeo mostra mulher idosa lutando para respirar, deitada sobre o que parece ser uma sacola plástica. Ela estaria dentro do necrotério de um hospital e foi resgatada por seus parentes.",Falso
300,Bill Gates está financiando uma vacina em forma de adesivo. A vacina contém um microchip que será usado para monitorar pessoas via rede 5G.,Falso
301,O número total de mortes por COVID-19 diminuiu em Manaus (AM) de 150 para 2 após visita do Ministro da Saúde Nelson Teich. Isso aconteceu porque ele começou a investigar mortes fraudulentas.,Falso
302,"Apesar da pandemia de COVID-19, o número total de mortes no Brasil diminuiu em vez de aumentar se comparados os meses de abril de 2019 e abril de 2020. A declaração é apoiada pelos dados nacionais do Registro Civil.",Falso
303,"TV Globo usou imagens de um funeral coletivo para as vítimas de um naufrágio em Lampedusa, em 2013, para ilustrar matéria sobre mortes por COVID-19 na Itália.",Falso
304,Vídeo mostra confronto entre ambulantes e guardas municipais em São Paulo. Os guardas estariam tentando levar as mercadorias porque os comerciantes não estavam obedecendo o isolamento social.,Falso
305,"Segundo o Registro Civil, número de mortes por síndrome respiratória diminuiu e não aumentou entre 2019 e 2020 no Ceará, Brasil. O período considerado foi de 16 de março a 10 de maio.",Falso
306,"Foto mostra metrô lotado e com pessoas usando máscaras. Na legenda, afirma-se que a imagem foi tirada depois que o prefeito de São Paulo determinou restrições de tráfego (apenas metade dos veículos pode circular diariamente) para aumentar o isolamento social.",Falso
307,"Foto mostra três lojas fechadas e com placas informando que as pessoas perderam o emprego por causa de Alexandre Kalil, prefeito de Belo Horizonte, e suas medidas de bloqueio contra o COVID-19.",Falso
308,O Washington Post publicou reportagem em que afirma que o paciente zero de COVID-19 era funcionário de um instituto de virologia em Wuhan.,Falso
309,O número total de mortes no Brasil diminuiu durante a pandemia da COVID-19.,Falso
310,"A taxa de desaprovação do governador de São Paulo, João Doria, atingiu 98% durante o bloqueio da COVID-19.",Falso
311,Imagem do apresentador de TV Tiago Leifert com a equipe do BBB ‘celebrando recorde de audiência’,Falso
312,Imagem mostrando uma fila na frente do restaurante Bom Prato em São Paulo,Falso
313,Dois áudios sobre  arrastões de consumidores na Cracolândia durante a pandemia,Falso
314,Um empresário se suicidou depois de despedir 223 empregados por causa da crise do coronavírus.,Falso
315,O governo da Paraíba utilizou orçamento de emergência para contratar artistas,Falso
316,Vídeo de um confronto na Cracolândia durante a pandemia de Covid-19,Falso
317,Imagens mostrando que o hospital no Rio de referência  para Covid-19 não tem pacientes,Falso
318,Uma reportagem italiana sobre uma pesquisa de coronavírus em 2015,Falso
319,"Por causa da Covid-19, dinheiro foi jogado fora na Itália.",Falso
320,Vídeo mostra 4 hospitais supostamente vazios em São Paulo.,Falso
321,"Foto mostra vários pacientes em camas de hospital concentradas em uma área muito pequena. A legenda afirma que era assim que era a saúde pública no Brasil em 2016, mas a mídia nunca falou sobre isso.",Falso
322,"Dados do Registro Civil mostram que, entre 1º de janeiro e 12 de maio, o número total de mortes por causas respiratórias permanece basicamente o mesmo.",Falso
323,"Foto mostra uma mansão acompanhada de legenda que diz que João Doria, governador de São Paulo, quer que você fique em casa porque ele mora nesta casa.",Falso
324,O chá boldo pode curar COVID-19 em três horas.,Falso
325,O Carrefour está oferecendo um vale de R$ 300 para famílias carentes durante a crise da COVID-19.,Falso
326,"O Registro Civil brasileiro oficial mostrou que o número total de mortes em abril diminuiu, em vez de aumentar, entre 2019 e 2020, durante a pandemia da COVID-19.",Falso
327,"O Ministério da Saúde da Itália descobriu que as mortes por COVID-19 são causadas por bactérias, não pelo novo coronavírus.",Falso
328,"Vídeo mostra profissionais de saúde em um hospital exibindo mensagem esperançosa. A legenda informa que o vídeo foi filmado no Hospital Moinhos de Vento, em Porto Alegre, e que eles conseguiram curar todos os pacientes com COVID-19 em sua UTI e estavam comemorando.",Falso
329,O Supremo Tribunal Federal proibiu hospitais militares de tratar pacientes civis com COVID-19. Cinco partidos políticos contrários a Bolsonaro fizeram o pedido.,Falso
330,"Foto mostra quarto de hospital vazio. A legenda diz que costumava ser uma sala de isolamento"" para pacientes com COVID-19 no Hospital HCPM no Rio. Também diz que houve apenas um caso COVID-19 no hospital.""",Falso
331,"Foto mostra pilha de dinheiro. Na legenda, afirma-se que esse dinheiro foi destinado a financiar hospitais temporários no Rio, mas foi roubado por um assessor do governador Wilson Witzel.",Falso
332,"Vídeo mostra um pastor evangélico oferecendo máscara espiritual invisível contra COVID-19, H1N1 e HIV.",Falso
333,"O Partido dos Trabalhadores (PT) entrou com uma ação contra o governo, no STF (Supremo Tribunal Federal), exigindo que o Governo Federal parasse de comprar cloroquina e hidroxicloroquina.",Falso
334,Vídeo mostra um homem deitado calmamente em uma cama de hospital e escondido em uma ambulância. A legenda diz que isso é prova de que as autoridades brasileiras estão forjando casos de COVID-19.,Falso
335,"João Doria, governador de São Paulo, disse que as pessoas precisam escolher entre confinamento ou comida"" em uma entrevista ao Brasil Urgente um programa de TV nacional.""",Falso
336,"A grande mídia brasileira não disse nada depois que o ex-presidente Lula afirmou: felizmente a natureza criou esse monstro chamado coronavírus"".""",Falso
337,"Depois de deixar o cargo de ministro da Saúde, Nelson Teich disse que não podia trabalhar com Jair Bolsonaro porque não podia trabalhar com alguém que colocava sua própria mediocridade e ignorância diante da ciência.",Falso
338,"O filho de William Bonner, um dos âncoras mais conhecidos do Brasil, recebeu um subsídio de emergência COVID-19 de R $ 600, destinado aos pobres, apesar de ser filho de um homem rico.",Falso
339,"99% de todos os pacientes com COVID-19 em Itaperuna, no Rio de Janeiro, foram curados após serem tratados com cloroquina.",Falso
340,"Vídeo mostra uma fila de profissionais de saúde dando as costas para um carro que passava. Nas legendas, afirma-se que eles estavam protestando contra Bruno Covas, prefeito de São Paulo.",Falso
341,O governo federal criou um vale para as pessoas pobres comprarem botijões de gás durante a pandemia de COVID-19. A mensagem foi compartilhada no WhatsApp com um link para o formulário on-line autorizado que as pessoas precisam preencher para se qualificarem ao benefício.,Falso
342,"A cloroquina foi inventada por Gaspar Vianna, um cientista do Pará, Brasil.",Falso
343,"Foto de aglomeração na Cracolândia, São Paulo (Brasil)",Falso
344,As autoridades italianas descubriram que uma bactéria causa a COVID-19,Falso
345,As autoridades italianas descobriram que a COVID-19 é causada por uma bactéria,Falso
346,"Um tuíte de uma pessoa que se diz recém-saída do “Hospital Unimed da Barra”, onde seu primo “Antônio Carlos, de 67 anos” se curou logo após ser tratado com cloroquina. ",Falso
347,"A Agência de Alimentos e Medicamentos dos Estados Unidos (FDA, na sigla em inglês)  liberou a hidroxicloroquina para todos os pacientes com Covid-19",Falso
348,O Hospital de Campanha do Pacaembu não tem pacientes,Falso
349,O Hospital das Clínicas de São Paulo não tem pacientes com COVID-19,Falso
350,"Reportagem do G1 mostrou que o governo de São Paulo manipulou o número de mortos pela Covid-19, doença causada pelo novo coronavírus. ",Falso
351,"Vídeo mostra policiais militares abordando e imobilizando um homem, em uma rua de São Paulo, por causa da Covid 19. ",Falso
352,Um estudo espanhol com 60 mil pessoas demonstrou que as políticas de bloqueio são ineficazes.,Falso
353,Médicos de 30 países confirmam a eficácia da cloroquina,Falso
354,"A atriz e cantora norte-americana Rita Wilson afirmou que se salvou apenas porque usou cloroquina"". """,Falso
355,"Vídeo mostra uma idosa sendo imobilizada por guardas municipais em Sorocaba, no Brasil",Falso
356,O juiz federal Marcelo Bretas postou um texto dizendo que a hidroxicloroquina dificulta a corrupção dos políticos. ,Falso
357,"Imagens de um chinês detido com carga roubada para o tratamento da Covid-19” ao lado dos governadores de São Paulo João Doria (PSDB); do Rio Wilson Witzel (PSC) e do Distrito Federal Ibaneis Rocha (MDB); do presidente da Câmara dos Deputados Rodrigo Maia (DEM-RJ); e do ex-presidente da República Fernando Henrique Cardoso (PSDB)""",Falso
358,Vídeo mostra policiais militares abordando e agredindo com cacetetes um homem que não respeitava o isolamento social por conta da Covid-19,Falso
359,"O quinino, presente na água tônica, ajuda a tratar e a prevenir a COVID-19",Falso
360,"Vídeo de um saque a supermercado no estado de Pernambuco (Brasil), porque “o povo tinha fome”",Falso
361,"O Bar Brahma, um dos bares mais famosos de São Paulo, será fechado após a falência durante a pandemia.",Falso
362,Vídeo mostra um grupo de policiais saudando manifestantes anti-lockdown em São Paulo.,Falso
363,Estados brasileiros recebem R$16.450 adicionais em financiamento do governo federal para cada morte por COVID-19.,Falso
364,Os alimentos com “pH mais alcalino” ajudam a combater a Covid-19,Falso
365,"O ministro-chefe do Gabinete de Segurança Institucional, Augusto Heleno, tuitou que o presidente Jair Bolsonaro se curou da COVID-19",Falso
366,Um vídeo mostra guardas na Bahia agredindo uma mulher por violar a quatentena. ,Falso
367,"Vídeo mostra que o hospital dedicado al COVID-19 em Fortaleza, Brasil, não tem pacientes",Falso
368,"Uma imagem mostra o governador de São Paulo (Brasil), João Doria, em uma festa em Araçatuba",Falso
369,"As mortes por COVID-19 diminuíram depois de uma investigação"" da Polícia Federal. """,Falso
370,Lojas Renner anunciaram em 16 de abril o fechamento de suas filiais. ,Falso
371,"Um andar inteiro do Hospital Doutor João Lúcio Pereira Machado, em Manaus, está vazio depois que todos os pacientes com COVID-19 foram curados.",Falso
372,"Foto de Wilson Witzel, governador do Rio de Janeiro, almoçando em um restaurante à beira-mar. Na legenda, diz que, enquanto a população do Rio está confinada, o governador desfruta de uma refeição chique em Angra dos Reis.",Falso
373,Caixa bloqueou a assistência de emergência a 187.000 pessoas,Falso
374,Estão sepultando caixões vazios no Amazonas (Brasil) segundo noticiou o Jornal da Band,Falso
375,Um post que afirma que novos casos de Covid-19 estão diminuindo diariamente no mundo,Falso
376,São oferecido kits gratuitos de limpeza e higiene durante a pandemia,Falso
377,O FBI confiscou máscaras contaminadas com o novo coronavírus importadas da China,Falso
378,GloboNews informou a morte de um traficante como consequência da Covid-19,Falso
379,"Imagem do governador Eduardo Leite (PSDB), do Rio Grande do Sul, e de seu irmão Ricardo no que parece ser um teleférico durante a pandemia do coronavírus. ",Falso
380,O hospital de campanha do município de Santo André não tem pacientes,Falso
381,O incêndio de um carro mostrado em um vídeo viral foi causado por álcool em gel,Falso
382,"Imagem de uma jovem pisoteada por policial no estado do Ceará, Brasil",Falso
383,"Publicação comparando a taxa de mortalidade da Covid-19 em Minas Gerais, São Paulo, Ceará e Rio de Janeiro e que garante que a taxa de mortalidade em Minas Gerais é 11 vezes menor"" do que em São Paulo""",Falso
384,"Nelson Teich, ministro da Saúde do Brasil, está auditando"" os números da Covid-19""",Falso
385,Um vídeo de uma reportagem sobre o alerta da OMS por máscaras infectadas por coronavírus,Falso
386,Vídeo mostra cinco policiais militares de Minas Gerais imobilizando duas mulheres atiradas ao chão por descumprirem as medidas de isolamento social impostas pelo governo de MInas Gerais. ,Falso
387,O governo suspendeu o pagamento do subsídio de emergência devido à falta de dinheiro,Falso
388,"O chá de limão, alho e jambu curam a Covid-19",Falso
389,O sistema de UPAs no Rio de Janeiro induz a um alto registro de casos de Covid-19,Falso
390,WhatsApp teve bloqueio determinado pela Justiça em 2020,Falso
391,"Bing Liu, um pesquisador que estava prestes a descobrir uma vacina para o COVID-19, foi assassinado nos EUA.",Falso
392,"O prefeito do Rio de Janeiro, Marcelo Crivella, anunciou um plano para começar a reabrir o comércio e serviços em 1º de junho, incluindo escolas.",Falso
393,"Vídeo mostra um homem sendo resgatado, vivo, de dentro de uma tumba. A legenda diz que ele foi enterrado vivo depois de ser declarado morto por COVID-19.",Falso
394,Imagens de caixões vazios que estariam sendo enterrados na Amazônia para causar pânico na população devido à pandemia de Covid-19,Falso
395,"Imagem do enterro de um caixão vazio"" carregado por dois homens durante a pandemia""",Falso
396,Os caixões das vítimas da Covid-19 em Belo Horizonte estavam cheios de pedras,Falso
397,A Petrobras está distribuindo cupons de combustível pela pandemia de Covid-19,Falso
398,"Em Marabá, foram cavadas valas comuns para enterrar caixões vazios.",Falso
399,"Imagem de leitos desocupados no hospital de campanha no Ibirapuera, na cidade de São Paulo",Falso
400,Quem dirija sem máscara pode perder pontos da carteira de motorista,Falso
401,Os dados das repartições do Registro Civil são diferentes dos fornecidos pelas Secretarias Estaduais de Saúde,"Verdadeiro, mas"
402,"O governador da Bahia, Rui Costa, pediu ao prefeito de Porto Seguro que receba 200 casos de coronavírus""""",Falso
403,Mensagem do WhatsApp sobre doações de 492.000 cestas básicas do CRAS,Falso
404,"O número de mortes por COVID-19 no Ceará, Brasil, caiu 90% após uma operação da Polícia Federal para investigar fraudes com o número de mortos.",Falso
405,"Itapemirim, empresa brasileira de ônibus, declarou falência devido à falta de passageiros durante a crise de COVID-19",Falso
406,A polícia do Ceará atirou em um surfista que estava quebrando o bloqueio em uma praia em Fortaleza.,Falso
407,"No Brasil, 170 milhões de pessoas recebem ajuda de emergência por causa do coronavírus ",Falso
408,"Adélio Bispo, responsável por ferir seriamente o então candidato presidencial Jair Bolsonaro na campanha eleitoral em 2018, se contagiou do novo coronavírus",Falso
409,A idosa filmada na maca foi resgatada viva do necrotério depois que o hospital relatou sua morte por Covid-19,Falso
410,Imagens de caixões vazios jogados em São Paulo e Amazônia,Falso
411,As vítimas da Covid-19 têm o resultado do teste da doença  de forma automática ,Falso
412,"Um vídeo mostrando o governador de São Paulo, João Doria (PSDB), dançando com a deputada federal Joice Hasselmann (PSL-SP) durante a pandemia",Falso
413,O governo do Rio de Janeiro pagará R$ 836 a presos estaduais,Falso
414,Um vídeo de médicos dançando em Israel está relacionado ao fechamento de hospitais sem casos de COVID-19,Falso
415,Imagem que mostra uma pessoa segurando um caixão vazio com dois dedos em um enterro durante a pandemia,Falso
416,O uso prolongado de máscaras produz hipóxia,Falso
417,"Bill Gates criou uma vacina não líquida"" capaz de monitorar pessoas através da tecnologia 5G""",Falso
418,Imagem de cartazes de protesto contra o prefeito de Belo Horizonte na pandemia,Falso
419,O vídeo do confronto entre vendedores ambulantes e fiscais em São Paulo está relacionado à Covid-19,Falso
420,O número de mortes por dia em Manaus caiu após a visita do Ministro da Saúde do Brasil,Falso
421,A imagem dos mortos em um naufrágio foi usada pelo Grupo Globo em uma reportagem sobre a Covid-19 na Itália,Falso
422,"Apesar da pandemia da Covid-19,  número total de mortes registradas em cartórios em abril foi menor que em 2019",Falso
423,"Imagem da mansão onde vive o governador de São Paulo (Brasil), João Doria ",Falso
424,"Foto que mostra pacotes de dinheiro confiscado pela Polícía Federal (PF) em uma operação no Rio de Janeiro (Brasil), que teria sido desviado de hospitais de campanha no Estado construídos para pacientes com COVID-19",Falso
425,"O governador de São Paulo, João Doria (PSDB), teria dito que o povo tem que escolher entre o isolamento ou a comida. ",Falso
426,"Vídeo dos Hospital Moinhos de Vento, em Porto Alegre (Rio Grande do Sul, Brasil), em que a Unidade de Terapia Intensiva (UTI) foi esvaziada durante a pandemia de Covid-19.",Falso
427,Uma imagem de 2016 mostrando os sistemas de saúde em colapso durante o governo do PT,Falso
428,Um vídeo mostrando hospitais vazios em São Paulo (Brasil),Falso
429,"Houve queda no número de mortes no país para 5.468, segundo o deputado estadual Ruy Irigaray (PSL-RS)",Falso
430,O número total de mortes no país diminuiu durante a pandemia de COVID-19,Falso
431,O número de mortes por dooenças respiratórias no Ceará caiu em 2020,Falso
432,O número de mortes de pessoas com doenças respiratórias foi o mesmo em 2019 e 2020,Falso
433,"Vídeo no qual um suposto pastor evangélico vende uma máscara espiritual que protege as pessoas contra coronavirus, a H1N1 e o HIV.",Falso
434,"A imprensa brasileira se calou"" depois que o ex presidente Luiz Inácio Lula da Silva (PT) disse que ""sorte que a natureza criou este monstro de coronavírus"". """,Falso
435,"Vídeo mostra médicos e enfermeiros protestando contra o prefeito de São Paulo, Bruno Covas (PSDB)",Falso
436,O ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes pode proibir o governo federal de destinar recursos para a compra de hidroxicloroquina para o tratamento de pacientes de COVID-19,Falso
437,"A reprovação do governador de São Paulo, João Doria, atingiu 98% durante a pandemia de COVID-19",Falso
438,O Supremo Tribunal Federal (STF) proibiu que os hospitais militares do Brasil comecem a atender pacientes civis com COVID-19,Falso
439,O chá de boldo elimina os sintomas da Covid-19 em até três horas,Falso
440,"O ex-ministro da Saúde Nelson Teich disse que não é possível estar à frente de um ministério em um país onde o presidente - ou seja, Jair Bolsonaro - escolhe a mediocridade e ignorância no lugar da ciência, sem se importar com as vítimas da pandemia de COVID-19",Falso
441,Há apenas uma pessoa em tratamento por COVID-19 no Hospital Central da Polícia Militar (HCPM) do Rio de Janeiro (Brasil),Falso
442,"Imagem de um vagão cheio em São Paulo, fruto do rodízio ampliado de veículos na capital paulista, estabelecida pelo prefeito Bruno Covas (PSDB)",Falso
443,O Washington Post informou que o paciente zero da Covid-19 era funcionário de um laboratório em Wuhan,Falso
444,"O Ministério da Cidadania está abrindo inscrição para o Programa Ajuda Gás, benefício que varia de R$ 70 a R$ 210",Falso
445,No WhatsApp há oferta de um vale-compras do Carrefour,Falso
446,"Não houve mortes por COVID-19 em Fortaleza, Brasil, em 29 de maio.",Falso
447,"O Bar Brahma, em São Paulo, vai fechar as portas depois da pandemia. ",Falso
448,"Estudo com 60.000 pessoas na Espanha mostra a ineficácia das quarentenas"".""",Falso
449,"Vinícius Bonemer, filho dos jornalistas William Bonner e Fátima Bernardes, teria recebido os R$ 600 do auxílio emergencial do Governo Federal. ",Falso
450,Vídeo de um homem retirado vivo de uma sepultura durante a pandemia de COVID-19,Falso
451,"O cientista chinês morto nos EUA estava prestes a descobrir"" uma vacina para a COVID-19""",Falso
452,Um médico do estado do Pará descobriu a cloroquina,Falso
453,Imagem mostra um andar de hospital no Amazonas (Brasil) sem pacientes com COVID-19,Falso
454,A Prefeitura do Rio de Janeiro adotou um plano de abertura do comércio para o início de junho.,Falso
455,Vídeo mostra vários policiais militares batendo continência para manifestantes contrários ao isolamento social. ,Falso
456,Vídeo que afirma que São Paulo recebe R$ 16.000 por cada registro de morte por COVID-19,Falso
457,"Imagem do governador do Rio de Janeiro, Wilson Witzel (PSC), almoçando ao lado do prefeito de Angra dos Reis, Fernando Jordão (MDB), durante a pandemia",Falso
458,"Imagem mostra uma paciente exibindo um cartaz com a inscrição Eu venci a Covid-19"" no município de Itaperuna no Rio de Janeiro que alcançou a marca de 99% de pacientes curados com o uso da cloroquina no tratamento. """,Falso
459,"Após uma operação policial no Rio, a administração da cidade reduziu o número oficial de mortos por COVID-19 em 1.177",Falso
460,Uma foto de uma pessoa carregando um cadáver com uma única mão. A legenda afirma que se trata de um funeral forjado.,Falso
461,Empresa brasileira de transporte Itapemirim declarou falência durante a pandemia de COVID-19,Falso
462,O número de mortes por Covid-19 no Ceará não diminuiu devido a uma operação da Polícia Militar,Exagerado
463,A Polícia Militar atirou em um surfista em uma praia de Fortaleza ,Falso
464,"Não houve mortes por COVID-19 em Belém, no Pará, nos dias 30 e 31 de maio.",Falso
465,"O presidente de Madagascar, Andry Rajoelina, acusou a OMS de subornos promissores para envenenar “cura da COVID-19”.",Falso
466,"Maria Virgínia Casagrande, primeira-dama do Espírito Santo, foi curada da COVID-19 após ser tratada com um protocolo de hidroxicloroquina e azitromicina.",Falso
467,"Renata Vasconcellos, uma das âncoras de notícias mais famosas do Brasil, contraiu COVID-19.",Falso
468,"O hospital de campanha do Anhembi, em São Paulo, está vazio. Suposto vídeo comprova.",Falso
469,"Tasuku Honjo, ganhador do prêmio Nobel, afirmou que o SARS-Cov-2 foi fabricado em um laboratório em Wuhan, onde costumava trabalhar.",Falso
470,Belém (Pará) não teve nenhuma morte por COVID-19 em 30 e 31 de maio.,Falso
471,O  Ceará não teve nenhuma morte por COVID-19 em 29 de maio.,Falso
472,"Imagem de uma pessoa carregando na mão uma saco com um corpo"" é de um funeral simbólico nos Estados Unidos. """,Falso
473,O número de mortes por COVID-19 foi menor no Rio de Janeiro (Brasil) depois da operação da Polícia Federal,Falso
474,"O Presidente de Madagascar, Andry Rajoelina, disse que a OMS ofereceu subornos para envenenar a cura da COVID-19”""",Falso
475,"O ex-candidato presidencial brasileiro Fernando Haddad deu uma festa de aniversário, com convidados enquanto defendia o isolamento social.",Falso
